,Connection Date,HOST TO,Connection Cap (MW),Project Name,Plant Type,MW Change
125,2026-01-16,NGET,299.0,1,1,299.0
126,2026-01-31,NGET,1212.0,2,2,1212.0
127,2026-03-11,NGET,700.0,1,1,340.0
128,2026-04-01,NGET,150.0,1,1,150.0
129,2026-04-01,SHET,400.8,2,2,200.8
130,2026-04-01,SPT,500.0,1,1,500.0
131,2026-04-12,SPT,500.0,1,1,500.0
132,2026-04-30,NGET,860.0,1,1,860.0
133,2026-04-30,SPT,507.0,3,2,507.0
134,2026-05-01,SPT,67.2,1,1,67.2
135,2026-05-16,NGET,57.0,1,1,57.0
136,2026-05-29,NGET,437.0,1,1,437.0
137,2026-05-31,NGET,100.0,1,1,100.0
138,2026-05-31,SHET,49.9,1,1,49.9
139,2026-06-30,NGET,406.39,6,4,306.59
140,2026-06-30,SPT,299.8,3,1,299.8
141,2026-07-03,SPT,60.0,1,1,60.0
142,2026-07-31,NGET,83.0,1,1,83.0
143,2026-07-31,SHET,70.0,1,1,70.0
144,2026-07-31,SPT,343.0,3,1,343.0
145,2026-08-01,NGET,1257.0,2,2,1257.0
146,2026-08-19,SPT,55.0,1,1,55.0
147,2026-08-24,NGET,249.0,1,1,249.0
148,2026-08-30,NGET,360.0,1,1,360.0
149,2026-08-31,SHET,77.0,1,1,77.0
150,2026-08-31,SPT,72.8,1,1,72.8
151,2026-09-25,NGET,142.5,1,1,85.5
152,2026-09-30,NGET,207.0,2,2,157.1
153,2026-09-30,SHET,117.9,2,1,63.5
154,2026-09-30,SPT,120.0,2,2,120.0
155,2026-10-01,NGET,7790.0,7,5,6575.0
156,2026-10-01,SPT,30.0,1,1,30.0
157,2026-10-20,SPT,100.0,1,1,100.0
158,2026-10-23,NGET,199.96,1,1,99.98
159,2026-10-25,NGET,390.0,2,2,390.0
160,2026-10-30,NGET,4446.6,11,4,4396.7
161,2026-10-30,SPT,69.0,2,2,69.0
162,2026-10-31,NGET,2306.5,14,5,2256.6
163,2026-10-31,SHET,1640.1,10,4,840.1
164,2026-10-31,SPT,296.0,3,3,296.0
165,2026-11-01,NGET,57.0,1,1,57.0
166,2026-11-30,NGET,200.0,1,1,200.0
167,2026-11-30,SPT,88.0,2,1,88.0
168,2026-12-13,NGET,57.0,1,1,57.0
169,2026-12-15,SPT,12.0,1,1,12.0
170,2026-12-30,NGET,340.0,3,2,140.4
171,2027-01-13,NGET,47.5,1,1,47.5
172,2027-01-15,SHET,45.0,1,1,45.0
173,2027-02-04,NGET,693.0,5,1,693.0
174,2027-03-31,SHET,49.7,1,1,49.7
175,2027-03-31,SPT,80.0,1,1,80.0
176,2027-04-01,NGET,2284.0,3,2,2284.0
177,2027-04-01,SHET,316.0,3,2,316.0
178,2027-04-06,NGET,1670.0,1,1,1670.0
179,2027-04-16,SPT,500.0,1,1,500.0
180,2027-04-25,SHET,207.6,1,1,207.6
181,2027-04-30,NGET,108.0,2,2,108.0
182,2027-04-30,SHET,50.0,1,1,50.0
183,2027-04-30,SPT,1375.5,7,3,1375.5
184,2027-05-01,NGET,57.0,1,1,57.0
185,2027-05-17,SPT,600.0,1,1,600.0
186,2027-05-31,SHET,105.0,1,1,105.0
187,2027-05-31,SPT,63.0,1,1,63.0
188,2027-06-01,NGET,124.0,2,2,124.0
189,2027-06-01,SPT,480.0,1,1,40.0
190,2027-06-30,NGET,106.9,2,2,57.0
191,2027-06-30,SHET,169.0,2,1,169.0
192,2027-06-30,SPT,392.0,3,2,392.0
193,2027-07-14,SPT,96.0,1,1,96.0
194,2027-07-15,NGET,300.0,1,1,300.0
195,2027-07-31,SHET,612.8,5,2,520.4
196,2027-08-01,SHET,99.0,1,1,99.0
197,2027-08-26,SPT,50.0,1,1,50.0
198,2027-08-27,SPT,36.0,1,1,36.0
199,2027-08-31,NGET,347.0,2,2,347.0
200,2027-08-31,SHET,49.5,1,1,49.5
201,2027-09-01,NGET,999.9,2,2,999.9
202,2027-09-11,NGET,88.4,1,1,88.4
203,2027-09-27,SPT,100.0,1,1,100.0
204,2027-09-29,SPT,89.0,1,1,89.0
205,2027-09-30,NGET,2775.0,3,2,785.6
206,2027-09-30,SHET,34.8,1,1,14.8
207,2027-09-30,SPT,150.0,1,1,150.0
208,2027-10-01,NGET,800.0,2,1,800.0
